,height_in,weight_lbs,Age,season_num,G,MP,PER,WS,WS/48,BPM,VORP,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,season_categorical,salary,season_start,player_name
0,78.0,200.0,23.0,1.0,68.0,15.5,10.1,2.1,0.096,-2.5,-0.09999999999999998,0.0,-2.7755575615628914e-17,0.0,0.0,1.0,32.0,5994764.0,2016,Álex Abrines
1,78.0,200.0,24.0,2.0,75.0,15.100000000000001,9.0,2.2,0.094,-2.2,-0.09999999999999998,0.0,-2.7755575615628914e-17,0.0,0.0,1.0,33.0,5725000.0,2017,Álex Abrines
2,78.0,200.0,25.0,3.0,30.999999999999996,19.0,6.3,0.6000000000000001,0.053,-3.4,-0.20000000000000007,0.0,-2.7755575615628914e-17,0.0,0.0,1.0,34.0,5455236.0,2018,Álex Abrines
3,78.11607244144024,200.47604391690723,26.04676457890193,4.297592096460393,49.894571556347316,17.528521071382254,9.068572381904396,1.0973638138636295,0.05965649662481559,-2.6166920284355033,0.012040199321610823,0.015134368322250513,0.0004637656867984563,0.04803604749138585,0.24092572723830424,0.6897004902975357,36.048778038824565,4360652.8109458545,2019,Álex Abrines
4,78.45476504782901,197.01227168546214,26.10483779604471,5.111217097773967,51.79723040180592,17.928436503466123,9.078427807753599,0.892712041357659,0.051886535920217434,-2.7834335678376148,-0.034448383578597364,0.018093027877485263,0.03667988007617423,0.0765304602131048,0.33769074830301393,0.5341702797754541,39.442323514878424,4823156.504646084,2020,Álex Abrines
5,78.82496046583937,193.35206480922784,25.799175136283043,5.88100025288359,51.614216076357614,18.411271946835726,8.551672866885031,0.7988041149343625,0.04547939502463899,-3.0980426335958695,-0.13054573765620536,-0.015078728472031122,0.07789113353263813,0.08532890298013873,0.39707871127128924,0.4593862173925224,41.64054834037187,5965363.923518649,2021,Álex Abrines
6,79.30428348295214,189.3978558777329,25.416742390435576,6.863777979400023,52.348246165277665,19.389570781999804,7.81641637617892,0.7495591827537544,0.04178805551905497,-3.1200862115472265,-0.18304900848824035,-0.055108463136538305,0.11533788345218908,0.06648437779337932,0.44243380896712947,0.4302949574686807,43.09774659268891,7451013.142093738,2022,Álex Abrines
7,79.96469565075631,185.41212210459426,24.92521996724653,7.95778383275319,53.0783600611268,20.30327290149895,7.280417696048148,0.8187779567449076,0.03783865703960207,-3.1258600039968503,-0.2502786342234792,-0.06937076040077902,0.15559334227505472,0.031566482631985165,0.48844673494612,0.3999762611149362,44.165540420064445,8789837.39656367,2023,Álex Abrines
8,80.60618775876596,183.05128660451308,24.46541869180657,8.568432252183088,53.13322835796265,20.558604701869818,6.964443240628491,0.8937781068059101,0.036726880964318184,-3.0159955738511517,-0.23074588692608222,-0.08584445485761241,0.19242608323932653,0.011978141763111044,0.5234351116902549,0.37061379818464657,45.135360161521795,10165318.26329267,2024,Álex Abrines
9,81.23799171133119,181.662818062397,24.017046175032288,8.908165491387976,53.628445361479415,20.625995781771007,6.889568064194835,1.04090265003821,0.03615328974681478,-2.8442966272671155,-0.20876683001342466,-0.09740839073062887,0.23486264993637115,0.005218224431075308,0.5557322355542114,0.3241732591358861,45.74441480737081,11393565.332180068,2025,Álex Abrines
0,78.0,230.0,23.0,2.0,75.0,16.4,13.9,1.9,0.07400000000000001,-1.6,0.09999999999999998,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,32.0,1514160.0,2015,Justin Anderson
1,78.0,230.0,24.0,3.0,38.0,13.7,13.0,1.1999999999999997,0.115,-2.0,0.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,33.0,1579440.0,2016,Justin Anderson
2,78.0,230.0,25.0,4.0,48.0,9.6,11.2,0.3999999999999999,0.043,-3.2,-0.09999999999999998,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,34.0,2516048.0,2017,Justin Anderson
3,77.67937469925448,227.2677218141863,26.391468872070668,5.218181717948104,47.12554658890137,15.670181309198277,10.054130102694891,1.4584307828089287,0.0463456965608348,-3.222489871666708,0.20450220205537378,0.020725020253661935,0.05791650279760749,-0.05111897504719895,0.693006189740727,0.25374401427029186,34.68775255216847,2124051.4676602255,2018,Justin Anderson
4,78.02795568757102,220.0174129914022,26.847091887630487,5.959915798996023,49.335131889186826,17.230159116537298,10.128296854587504,1.6992389188777604,0.05067382587006058,-3.3802032778617086,0.06443359769636692,0.05435329041703499,0.08973798510607696,-0.035522557021388956,0.549271046482111,0.3360372717651332,35.700606665950176,2313477.6984806154,2019,Justin Anderson
5,78.12590518967497,214.57662349758164,26.910202458238746,6.695180388057192,50.795261979602664,17.834865348765952,10.019830246212106,1.6734564035662283,0.04874251055426525,-3.5138930639772674,-0.08985097794422281,0.07383679430070736,0.1148821305253811,-0.022355501360853042,0.459973938764625,0.36087447494452995,36.46124933960187,2536129.986558985,2020,Justin Anderson
6,78.20241165770882,209.83609024352558,26.90958228681928,7.3974471328678355,53.40788684032461,19.017662322757126,9.993516864629552,1.689054778612625,0.05179217441402803,-3.2727813823394163,-0.09129142265658541,0.07102656373665339,0.14425352087244753,-0.02747460387978204,0.4164256924913927,0.3724676178575406,37.3911385221012,3087814.7306401846,2021,Justin Anderson
7,78.43220950433306,204.39233748040434,26.842885094433072,8.273721530689151,56.26533753045509,20.562545571288517,9.604898786532559,1.6579818745832475,0.05366176022352315,-3.027242049774986,-0.08692581220194262,0.051637084640613035,0.16560059675675792,-0.0561841690240209,0.41493228276970917,0.37845183170316316,37.707720834439634,4019768.5694026714,2022,Justin Anderson
