,player_id,season_start,player_name,height_in,weight_lbs,Age,Pos,season_num,G,MP,PER,WS,WS/48,BPM,VORP,salary
41,acyqu01,2013,Quincy Acy,79,240,23,SF,2,63,13.4,10.1,1.5,0.086,-1.1,0.2,788872
42,acyqu01,2014,Quincy Acy,79,240,24,PF,3,68,18.9,11.9,1.7,0.063,-3.1,-0.3,915243
43,acyqu01,2015,Quincy Acy,79,240,25,PF,4,59,14.8,14.7,2.5,0.13699999999999998,0.2,0.5,981348
44,acyqu01,2016,Quincy Acy,79,240,26,PF,5,38,14.7,11.8,0.9,0.08199999999999999,-3.0,-0.1,1914544
45,acyqu01,2016,Quincy Acy,79,240,26,PF,5,38,14.7,11.8,0.9,0.08199999999999999,-3.0,-0.1,1050961
46,acyqu01,2017,Quincy Acy,79,240,27,PF,6,70,19.4,8.2,1.0,0.036000000000000004,-2.2,-0.1,1709538
47,adamsha01,2006,Hassan Adams,76,220,22,SG,1,61,8.1,13.0,1.0,0.095,-3.6,-0.2,412718
48,adamsha01,2008,Hassan Adams,76,220,24,SG,2,12,4.3,0.4,-0.2,-0.14400000000000002,-12.0,-0.1,297163
49,adamsjo01,2014,Jordan Adams,77,209,20,SG,1,30,8.3,12.8,0.4,0.073,-0.6,0.1,1344120
50,adamsjo01,2015,Jordan Adams,77,209,21,SG,2,2,7.5,17.3,0.0,0.015,1.9,0.0,1404600
51,adamsmi01,1985,Michael Adams,70,162,23,PG,1,18,7.7,8.0,-0.1,-0.027999999999999997,-7.1,-0.2,85000
52,adamsmi01,1987,Michael Adams,70,162,25,PG,3,82,33.9,15.6,7.5,0.13,2.2,3.0,160000
53,adamsmi01,1988,Michael Adams,70,162,26,PG,4,77,36.2,17.5,8.3,0.14300000000000002,3.2,3.7,375000
54,adamsmi01,1990,Michael Adams,70,162,28,PG,6,66,35.5,22.3,6.3,0.128,4.4,3.8,825000
55,adamsmi01,1991,Michael Adams,70,162,29,PG,7,78,35.8,17.1,5.3,0.09,1.7,2.6,1309000
56,adamsmi01,1992,Michael Adams,70,162,30,PG,8,70,35.7,15.6,4.6,0.08800000000000001,-0.1,1.2,1309000
57,adamsmi01,1993,Michael Adams,70,162,31,PG,9,70,33.4,14.2,3.1,0.063,-1.6,0.2,1309000
58,adamsmi01,1994,Michael Adams,70,162,32,PG,10,29,15.3,17.7,1.6,0.16899999999999998,0.5,0.3,1240000
59,adamsst01,2013,Steven Adams,84,265,20,C,1,81,14.8,11.2,2.9,0.114,0.3,0.7,2090880
60,adamsst01,2014,Steven Adams,84,265,21,C,2,70,25.3,14.1,4.1,0.111,0.4,1.1,2184960
61,adamsst01,2015,Steven Adams,84,265,22,C,3,80,25.2,15.5,6.5,0.155,2.1,2.1,2279040
62,adamsst01,2016,Steven Adams,84,265,23,C,4,80,29.9,16.5,6.5,0.13,0.6,1.5,3140517
63,adamsst01,2017,Steven Adams,84,265,24,C,5,76,32.7,20.6,9.7,0.187,3.3,3.3,22471910
64,adamsst01,2018,Steven Adams,84,265,25,C,6,80,33.4,18.5,9.1,0.163,2.7,3.2,24157304
65,addisra01,1991,Rafael Addison,79,215,27,SF,2,76,15.5,10.9,1.5,0.063,-3.8,-0.5,311000
66,addisra01,1992,Rafael Addison,79,215,28,SF,3,68,17.1,8.4,0.9,0.038,-4.6,-0.8,522000
67,addisra01,1994,Rafael Addison,79,215,30,SF,4,79,22.5,11.3,1.5,0.04,-3.4,-0.6,250000
68,addisra01,1995,Rafael Addison,79,215,31,SF,5,53,9.7,9.6,0.2,0.019,-5.2,-0.4,360000
69,addisra01,1996,Rafael Addison,79,215,32,SF,6,41,8.7,10.6,0.4,0.048,-4.3,-0.2,290000
70,adebaba01,2017,Bam Adebayo,82,255,20,C,1,69,19.8,15.7,4.2,0.14800000000000002,0.2,0.8,2490360
71,adebaba01,2018,Bam Adebayo,82,255,21,C,2,82,23.3,17.9,6.8,0.171,3.0,2.4,2955840
72,adrieje01,2010,Jeff Adrien,79,245,24,PF,1,23,8.5,11.3,0.2,0.051,-5.1,-0.2,342666
73,adrieje01,2011,Jeff Adrien,79,245,25,PF,2,8,7.9,11.2,0.1,0.106,-7.7,-0.1,270427
74,adrieje01,2012,Jeff Adrien,79,245,26,PF,3,52,13.7,13.4,1.0,0.064,-3.3,-0.2,804131
75,adrieje01,2013,Jeff Adrien,79,245,27,PF,4,53,18.1,17.4,2.7,0.134,-1.1,0.2,916099
76,adrieje01,2014,Jeff Adrien,79,245,28,PF,5,17,12.6,14.2,0.4,0.087,-2.2,0.0,981084
77,afflaar01,2007,Arron Afflalo,77,210,22,SG,1,75,12.9,10.2,1.9,0.092,-1.6,0.1,944520
78,afflaar01,2008,Arron Afflalo,77,210,23,SG,2,74,16.7,8.9,1.8,0.069,-2.4,-0.1,1015440
79,afflaar01,2009,Arron Afflalo,77,210,24,SG,3,82,27.1,10.9,4.3,0.092,0.3,1.3,1086240
80,afflaar01,2010,Arron Afflalo,77,210,25,SG,4,69,33.7,13.6,6.2,0.128,2.1,2.4,1959577
81,afflaar01,2011,Arron Afflalo,77,210,26,SG,5,62,33.6,14.7,5.3,0.121,0.8,1.5,7562500
82,afflaar01,2012,Arron Afflalo,77,210,27,SF,6,64,36.0,13.0,2.0,0.042,-2.3,-0.2,7750000
83,afflaar01,2013,Arron Afflalo,77,210,28,SG,7,73,35.0,16.0,5.3,0.099,-0.6,0.9,7312500
84,afflaar01,2014,Arron Afflalo,77,210,29,SG,8,78,32.1,10.7,2.6,0.05,-1.8,0.1,7750000
85,afflaar01,2015,Arron Afflalo,77,210,30,SG,9,71,33.4,10.9,2.7,0.055,-2.4,-0.2,8000000
86,afflaar01,2016,Arron Afflalo,77,210,31,SG,10,61,25.9,8.9,1.4,0.043,-3.5,-0.6,12500000
87,afflaar01,2017,Arron Afflalo,77,210,32,SG,11,53,12.9,5.8,0.1,0.009000000000000001,-5.8,-0.7,1500000
88,afflaar01,2017,Arron Afflalo,77,210,32,SG,11,53,12.9,5.8,0.1,0.009000000000000001,-5.8,-0.7,1471382
89,agerma01,2006,Maurice Ager,77,202,22,SG,1,32,6.7,2.9,-0.3,-0.06,-9.3,-0.4,906480
90,agerma01,2007,Maurice Ager,77,202,23,SG,2,26,6.3,1.8,-0.4,-0.114,-11.3,-0.4,974400
91,agerma01,2008,Maurice Ager,77,202,24,SG,3,20,4.9,2.2,-0.3,-0.133,-12.8,-0.3,1042440
92,agerma01,2010,Maurice Ager,77,202,26,SG,4,4,7.3,10.1,0.0,-0.015,-6.3,0.0,83305
93,aguirma01,1984,Mark Aguirre,78,232,25,SF,4,80,33.7,21.3,7.2,0.128,1.7,2.5,800000
94,aguirma01,1985,Mark Aguirre,78,232,26,SF,5,74,33.8,19.2,4.7,0.09,1.5,2.2,626240
95,aguirma01,1987,Mark Aguirre,78,232,28,SF,7,77,33.9,21.9,8.8,0.163,3.1,3.4,715700
96,aguirma01,1988,Mark Aguirre,78,232,29,SF,8,80,32.5,16.4,4.5,0.08199999999999999,0.5,1.7,715700
97,aguirma01,1990,Mark Aguirre,78,232,31,SF,10,78,25.7,16.7,5.5,0.132,0.7,1.4,1115000
98,aguirma01,1991,Mark Aguirre,78,232,32,SF,11,75,21.1,13.7,2.2,0.066,-2.6,-0.2,1232000
99,aguirma01,1992,Mark Aguirre,78,232,33,SF,12,51,20.7,13.7,1.8,0.08199999999999999,-1.5,0.1,1351000
100,aguirma01,1993,Mark Aguirre,78,232,34,SF,13,39,22.0,13.1,0.9,0.05,-2.1,0.0,1471000
101,aguirma01,1993,Mark Aguirre,78,232,34,SF,13,39,22.0,13.1,0.9,0.05,-2.1,0.0,150000
102,ahearbl01,2008,Blake Ahearn,74,190,24,PG,2,3,6.3,12.9,0.1,0.149,-1.1,0.0,125562
103,aingeda01,1984,Danny Ainge,76,175,25,SG,4,75,34.2,14.2,6.6,0.124,1.7,2.4,400000
104,aingeda01,1985,Danny Ainge,76,175,26,SG,5,80,30.1,13.6,6.8,0.136,1.2,1.9,550000
105,aingeda01,1987,Danny Ainge,76,175,28,SG,7,81,37.3,15.9,8.6,0.136,2.9,3.7,625000
106,aingeda01,1988,Danny Ainge,76,175,29,PG,8,73,32.6,18.0,6.7,0.135,2.3,2.6,675000
107,aingeda01,1990,Danny Ainge,76,175,31,SG,10,80,21.4,17.0,6.2,0.175,2.8,2.1,725000
108,aingeda01,1991,Danny Ainge,76,175,32,SG,11,81,19.7,15.4,5.2,0.155,1.0,1.2,725000
109,aingeda01,1992,Danny Ainge,76,175,33,SG,12,80,27.0,14.3,6.2,0.139,1.6,2.0,1330000
110,aingeda01,1993,Danny Ainge,76,175,34,SG,13,68,22.9,11.8,2.8,0.087,-1.3,0.3,1690000
111,aingeda01,1994,Danny Ainge,76,175,35,SG,14,74,18.6,14.3,3.4,0.11800000000000001,-0.4,0.6,2080000
112,ajincal01,2008,Alexis Ajinça,86,248,20,PF,1,31,5.9,7.0,-0.1,-0.018000000000000002,-9.3,-0.3,1276320
113,ajincal01,2009,Alexis Ajinça,86,248,21,C,2,6,5.0,6.3,0.0,-0.013000000000000001,-10.4,-0.1,1372080
114,ajincal01,2010,Alexis Ajinça,86,248,22,C,3,34,10.0,12.2,0.4,0.052000000000000005,-3.4,-0.1,1467840
115,ajincal01,2014,Alexis Ajinça,86,248,26,C,5,68,14.1,19.9,3.2,0.159,0.2,0.5,981084
116,ajincal01,2015,Alexis Ajinça,86,248,27,C,6,59,14.6,13.8,1.0,0.057999999999999996,-4.5,-0.5,4300000
117,ajincal01,2016,Alexis Ajinça,86,248,28,C,7,39,15.0,12.9,1.0,0.08,-4.1,-0.3,4600000
118,alabiso01,2010,Solomon Alabi,85,251,22,C,1,12,4.9,2.0,-0.2,-0.142,-8.2,-0.1,770000
119,alabiso01,2011,Solomon Alabi,85,251,23,C,2,14,8.7,14.2,0.2,0.083,-4.1,-0.1,830000
120,alarima01,1987,Mark Alarie,80,217,24,PF,2,63,12.2,11.6,0.9,0.057999999999999996,-3.0,-0.2,232500
121,alarima01,1988,Mark Alarie,80,217,25,PF,3,74,15.4,13.3,2.2,0.09300000000000001,-1.8,0.1,250000
122,alarima01,1990,Mark Alarie,80,217,27,PF,5,42,14.0,11.3,0.6,0.05,-3.6,-0.2,500000
123,aldemfu01,2014,Furkan Aldemir,82,240,23,PF,1,41,13.2,12.0,1.4,0.122,-0.7,0.2,3000000
124,aldrico01,2010,Cole Aldrich,83,250,22,C,1,18,7.9,7.0,0.2,0.066,-0.8,0.0,2126520
125,aldrico01,2011,Cole Aldrich,83,250,23,C,2,26,6.7,17.7,0.6,0.17600000000000002,0.3,0.1,2286000
126,aldrico01,2012,Cole Aldrich,83,250,24,C,3,45,8.6,11.1,0.6,0.07,-4.0,-0.2,2445480
127,aldrico01,2014,Cole Aldrich,83,250,26,C,5,61,16.0,18.1,2.2,0.107,0.9,0.7,981084
128,aldrico01,2015,Cole Aldrich,83,250,27,C,6,60,13.3,21.3,3.5,0.209,4.8,1.4,1100600
129,aldrico01,2016,Cole Aldrich,83,250,28,C,7,62,8.6,12.7,1.3,0.11599999999999999,0.6,0.4,7643979
130,aldrico01,2017,Cole Aldrich,83,250,29,C,8,21,2.3,6.0,0.0,-0.013000000000000001,-7.0,-0.1,7300000
131,aldrila01,2006,LaMarcus Aldridge,83,260,21,C,1,63,22.1,17.1,3.4,0.11800000000000001,-0.9,0.4,4027320
132,aldrila01,2007,LaMarcus Aldridge,83,260,22,PF,2,76,34.9,18.5,6.2,0.113,0.8,1.8,4329360
133,aldrila01,2008,LaMarcus Aldridge,83,260,23,PF,3,81,37.1,19.1,9.5,0.151,1.9,3.0,4631400
134,aldrila01,2009,LaMarcus Aldridge,83,260,24,PF,4,78,37.5,18.2,8.8,0.145,1.6,2.6,5844827
135,aldrila01,2010,LaMarcus Aldridge,83,260,25,PF,5,81,39.6,21.5,11.1,0.166,2.4,3.5,11244000
136,aldrila01,2011,LaMarcus Aldridge,83,260,26,PF,6,55,36.3,22.7,7.0,0.16899999999999998,2.4,2.2,12372000
137,aldrila01,2012,LaMarcus Aldridge,83,260,27,PF,7,74,37.7,20.4,7.2,0.124,0.8,2.0,13500000
138,aldrila01,2013,LaMarcus Aldridge,83,260,28,PF,8,69,36.2,21.8,7.5,0.14400000000000002,0.3,1.5,14128000
139,aldrila01,2014,LaMarcus Aldridge,83,260,29,PF,9,71,35.4,22.8,8.6,0.165,0.3,1.4,16006000
140,aldrila01,2015,LaMarcus Aldridge,83,260,30,PF,10,74,30.6,22.4,10.1,0.215,1.8,2.2,19500000
141,aldrila01,2016,LaMarcus Aldridge,83,260,31,PF,11,72,32.4,18.6,7.2,0.149,1.0,1.8,20575005
142,aldrila01,2017,LaMarcus Aldridge,83,260,32,C,12,75,33.5,25.0,10.9,0.209,3.3,3.3,21461010
143,aldrila01,2018,LaMarcus Aldridge,83,260,33,C,13,81,33.2,22.9,9.3,0.16699999999999998,1.6,2.5,22347015
144,alexacl01,2015,Cliff Alexander,80,245,20,PF,1,8,4.5,11.6,0.0,0.052000000000000005,-7.0,0.0,525093
145,alexaco01,1995,Cory Alexander,73,185,22,PG,1,60,9.3,8.7,0.2,0.021,-4.7,-0.4,490000
146,alexaco01,1996,Cory Alexander,73,185,23,PG,2,80,18.2,14.3,1.1,0.035,-1.3,0.2,521000
147,alexaco01,1997,Cory Alexander,73,185,24,PG,3,60,21.6,15.2,2.2,0.081,0.1,0.7,562380
148,alexaco01,1999,Cory Alexander,73,185,26,PG,5,29,11.3,8.8,-0.1,-0.012,-3.5,-0.1,1980000
149,alexaco01,2000,Cory Alexander,73,185,27,PG,6,26,8.7,6.3,-0.1,-0.031,-6.1,-0.2,2160000
150,alexaco02,2000,Courtney Alexander,77,205,23,PG,1,65,21.3,11.6,0.8,0.027000000000000003,-4.4,-0.8,1319400
151,alexaco02,2001,Courtney Alexander,77,205,24,SG,2,56,23.7,13.6,2.2,0.08,-2.1,0.0,1418400
152,alexaco02,2002,Courtney Alexander,77,205,25,PG,3,66,20.6,9.3,1.1,0.04,-5.5,-1.2,1517280
153,alexajo01,2008,Joe Alexander,80,230,22,SF,1,59,12.1,10.1,0.4,0.03,-3.3,-0.2,2403120
154,alexajo01,2009,Joe Alexander,80,230,23,SF,2,8,3.6,2.8,0.0,0.03,-3.7,0.0,2583360
155,alexavi01,1991,Victor Alexander,81,265,22,C,1,80,16.9,13.9,2.5,0.09,-2.9,-0.3,750000
156,alexavi01,1992,Victor Alexander,81,265,23,C,2,72,24.3,14.3,3.0,0.083,-1.8,0.1,942000
157,alexavi01,1993,Victor Alexander,81,265,24,C,3,69,19.1,14.0,2.3,0.083,-2.8,-0.3,1160000
158,alexavi01,1994,Victor Alexander,81,265,25,C,4,50,24.7,12.8,1.1,0.044000000000000004,-2.7,-0.2,1377500
159,alexavi01,2001,Victor Alexander,81,265,32,C,5,15,6.5,9.2,-0.1,-0.073,-11.4,-0.2,653350
160,alforst01,1987,Steve Alford,74,183,23,PG,1,28,7.0,11.6,0.3,0.08199999999999999,-0.8,0.1,100000
161,alforst01,1988,Steve Alford,74,183,24,PG,2,66,13.7,11.9,1.4,0.07200000000000001,-3.5,-0.3,150000
162,alforst01,1990,Steve Alford,74,183,26,PG,4,34,6.9,20.5,0.6,0.121,-1.4,0.0,250000
163,allengr01,2018,Grayson Allen,77,198,23,SG,1,38,10.9,7.5,0.0,0.002,-6.8,-0.5,2074320
164,allenja01,2017,Jarrett Allen,83,237,19,C,1,72,20.0,17.5,4.2,0.141,0.2,0.8,1713720
165,allenja01,2018,Jarrett Allen,83,237,20,C,2,80,26.2,18.5,7.6,0.175,2.5,2.4,2034120
166,allenje01,1995,Jerome Allen,76,184,23,SG,1,41,8.8,7.8,-0.3,-0.033,-6.1,-0.4,200000
167,allenje01,1996,Jerome Allen,76,184,24,SG,2,76,12.4,8.7,0.4,0.021,-3.5,-0.4,247500
168,allenla01,2011,Lavoy Allen,81,260,22,PF,1,41,15.2,12.7,1.6,0.124,-1.3,0.1,473604
169,allenla01,2012,Lavoy Allen,81,260,23,C,2,79,21.1,11.5,2.5,0.07200000000000001,-2.6,-0.3,3000000
170,allenla01,2013,Lavoy Allen,81,260,24,PF,3,65,16.5,12.5,1.5,0.066,-2.8,-0.2,3060000
171,allenla01,2014,Lavoy Allen,81,260,25,C,4,63,17.0,14.9,2.8,0.127,0.8,0.8,948163
172,allenla01,2015,Lavoy Allen,81,260,26,PF,5,79,20.2,12.4,3.7,0.11,-0.6,0.6,3700000
173,allenla01,2016,Lavoy Allen,81,260,27,PF,6,61,14.3,11.6,1.7,0.09300000000000001,-0.3,0.4,4000000
174,allenma01,2001,Malik Allen,82,255,23,PF,1,12,13.4,15.0,0.5,0.141,-1.4,0.0,332817
175,allenma01,2002,Malik Allen,82,255,24,PF,2,80,29.0,9.9,0.9,0.018000000000000002,-3.9,-1.1,512435
176,allenma01,2003,Malik Allen,82,255,25,PF,3,45,13.7,10.5,0.7,0.051,-4.6,-0.4,1510000
177,allenma01,2004,Malik Allen,82,255,26,PF,4,36,14.4,14.2,1.1,0.1,-2.3,0.0,1950625
178,allenma01,2005,Malik Allen,82,255,27,PF,5,54,13.0,11.5,1.0,0.068,-3.9,-0.3,1670000
179,allenma01,2006,Malik Allen,82,255,28,PF,6,60,10.6,10.4,1.0,0.073,-5.2,-0.5,1803600
180,allenma01,2007,Malik Allen,82,255,29,PF,7,73,15.0,9.8,1.0,0.045,-3.9,-0.5,998398
181,allenma01,2008,Malik Allen,82,255,30,PF,8,49,11.8,7.3,0.3,0.024,-4.6,-0.4,1300000
182,allenma01,2009,Malik Allen,82,255,31,PF,9,51,8.9,5.9,0.1,0.009000000000000001,-5.0,-0.3,1300000
183,allenma01,2010,Malik Allen,82,255,32,PF,10,18,9.9,3.3,0.2,0.046,-3.9,-0.1,1229255
184,allenra02,1996,Ray Allen,77,205,21,SG,1,82,30.9,14.6,4.9,0.092,0.3,1.5,1785000
185,allenra02,1997,Ray Allen,77,205,22,SG,2,82,40.1,16.2,7.0,0.102,1.8,3.2,2052360
186,allenra02,1998,Ray Allen,77,205,23,SG,3,50,34.4,18.9,5.2,0.146,2.9,2.1,2320000
187,allenra02,1999,Ray Allen,77,205,24,SG,4,82,37.4,20.6,10.1,0.157,3.0,3.9,9000000
188,allenra02,2000,Ray Allen,77,205,25,SG,5,82,38.2,22.9,13.7,0.21100000000000002,5.6,6.0,10130000
189,allenra02,2001,Ray Allen,77,205,26,SG,6,69,36.6,21.6,8.9,0.16899999999999998,4.3,4.0,11250000
190,allenra02,2002,Ray Allen,77,205,27,SG,7,76,37.9,21.3,9.1,0.152,3.7,4.2,12375000
191,allenra02,2003,Ray Allen,77,205,28,SG,8,56,38.4,21.7,6.9,0.153,4.0,3.3,13500000
192,allenra02,2004,Ray Allen,77,205,29,SG,9,78,39.3,20.9,10.7,0.168,3.7,4.4,14625000
193,allenra02,2005,Ray Allen,77,205,30,SG,10,78,38.7,22.2,9.5,0.15,3.6,4.2,13223140
194,allenra02,2006,Ray Allen,77,205,31,SG,11,55,40.3,21.6,6.3,0.136,3.4,3.0,14611570
195,allenra02,2007,Ray Allen,77,205,32,SG,12,73,35.9,16.4,9.7,0.177,3.1,3.4,16000000
196,allenra02,2008,Ray Allen,77,205,33,SG,13,79,36.4,17.3,11.1,0.18600000000000003,3.9,4.3,18388430
197,allenra02,2009,Ray Allen,77,205,34,SG,14,80,35.2,15.2,7.9,0.135,1.7,2.6,18776860
198,allenra02,2010,Ray Allen,77,205,35,SG,15,80,36.1,16.4,10.0,0.166,3.6,4.1,10000000
199,allenra02,2011,Ray Allen,77,205,36,SG,16,46,34.0,14.8,4.7,0.145,2.6,1.8,10000000
200,allenra02,2012,Ray Allen,77,205,37,SG,17,79,25.8,14.7,5.4,0.126,0.2,1.1,3090000
201,allenra02,2013,Ray Allen,77,205,38,SG,18,73,26.5,12.8,4.1,0.10099999999999999,0.1,1.0,3229050
202,allento01,2004,Tony Allen,76,213,23,SG,1,77,16.4,14.7,2.7,0.10300000000000001,-0.1,0.6,901920
203,allento01,2005,Tony Allen,76,213,24,PG,2,51,19.2,12.9,1.7,0.08199999999999999,-1.4,0.2,969696
204,allento01,2006,Tony Allen,76,213,25,SG,3,33,24.4,17.0,1.9,0.111,1.1,0.6,1037280
205,allento01,2007,Tony Allen,76,213,26,SG,4,75,18.3,10.7,2.7,0.09300000000000001,-1.4,0.2,1868141
206,allento01,2008,Tony Allen,76,213,27,SG,5,46,19.3,12.9,1.6,0.085,-0.3,0.4,2500000
207,allento01,2009,Tony Allen,76,213,28,SG,6,54,16.5,14.2,1.9,0.1,0.8,0.6,2500000
208,allento01,2010,Tony Allen,76,213,29,SG,7,72,20.8,18.3,4.7,0.152,3.6,2.1,3000000
209,allento01,2011,Tony Allen,76,213,30,SG,8,58,26.3,15.7,4.2,0.131,2.5,1.7,3150000
210,allento01,2012,Tony Allen,76,213,31,SG,9,79,26.7,13.2,5.1,0.115,1.3,1.8,3300000
211,allento01,2013,Tony Allen,76,213,32,SG,10,55,23.2,15.6,2.7,0.1,2.3,1.4,4494382
212,allento01,2014,Tony Allen,76,213,33,SG,11,63,26.2,14.6,4.1,0.11900000000000001,3.3,2.2,4831461
